gpslati,gpslong,nodeid,nodenm,nodeno
37.39365,126.9259667,GGB208000001,서안양우체국.국제나은병원,9157
37.3901,126.9289,GGB208000002,안양센트럴헤센.KCC스위첸,9172
37.3873,126.9312167,GGB208000003,만안구청,9180
37.3844167,126.93365,GGB208000004,성결대학교.안양아트센터.명학역,9190
37.3836,126.9385833,GGB208000005,명학대교,9207
37.3899833,126.9099667,GGB208000006,뉴골든아파트,9093
37.3883333,126.9090833,GGB208000007,금용아파트.장은한양아파트,9080
37.3859167,126.9065333,GGB208000008,병목안삼거리,9061
37.4019333,126.92145,GGB208000010,안양역,9145
37.41265,126.9093833,GGB208000011,새마을금고,9081
37.41125,126.9066833,GGB208000012,석수시장,9063
37.4101833,126.9066667,GGB208000013,갈뫼어린이공원,9062
37.4272,126.91505,GGB208000015,정심여자중고등학교,9122
37.4238667,126.9130167,GGB208000016,삼막교,9110
37.42265,126.91195,GGB208000017,느티나무.삼막맛거리촌,9103
37.4214333,126.9103667,GGB208000018,삼막동입구.삼막맛거리촌,9088
37.4137333,126.9170167,GGB208000019,삼성.세림아파트,9130
37.4101667,126.9138667,GGB208000020,안양예술공원지하도,9113
37.4102833,126.9135667,GGB208000021,안양예술공원지하도,9112
37.4140667,126.9169167,GGB208000022,삼성아파트,9129
37.42165,126.9102833,GGB208000023,삼막동입구.삼막맛거리촌,9089
37.4232333,126.91225,GGB208000024,느티나무.삼막맛거리촌,9104
37.4244833,126.91305,GGB208000025,삼막교,9111
37.42735,126.9148833,GGB208000026,정심여자중고등학교,9121
37.3842333,126.9022333,GGB208000027,창박골,9346
37.43245,126.9151333,GGB208000028,경인교육대후문,9120
37.4071333,126.92275,GGB208000030,양명고.양명여고.대우아파트,9149
37.41305,126.91965,GGB208000031,장애인복지회관,9142
37.4150167,126.918,GGB208000032,석수지구대,9135
37.4165333,126.91395,GGB208000033,안양예술공원,9115
37.4199167,126.9092833,GGB208000034,관악역,9082
37.4335833,126.90335,GGB208000037,석수역(중),9040
37.42265,126.90735,GGB208000040,한마음선원.관악역이안아파트,9067
37.4196333,126.9103333,GGB208000041,관악역,9084
37.4166667,126.91465,GGB208000042,안양예술공원,9119
37.4155833,126.9179167,GGB208000043,안양예술공원입구.아르테자이후문,9133
37.4068667,126.9234833,GGB208000045,양명고.양명여고.대우아파트,9150
37.3805833,126.9380833,GGB208000046,효성티앤씨.호계대교,9206
37.4186667,126.9067167,GGB208000047,동아제약물류센터,9066
37.3806333,126.9383667,GGB208000048,효성티앤씨.호계대교,9205
37.3904667,126.9254667,GGB208000050,안양문화원.소방서,9155
37.3890167,126.9259167,GGB208000051,안양세무서,9159
37.3870667,126.9268167,GGB208000052,만안경찰서,9165
37.3856,126.9273667,GGB208000053,만안평생교육센터,9167
37.3836167,126.92855,GGB208000054,만안청소년수련관.태양철물,9170
37.3822333,126.92975,GGB208000055,성결대학교,9174
37.4046,126.8930833,GGB208000056,노루페인트.대림한숲아파트,9012
37.4036833,126.89495,GGB208000057,충훈2교,9018
37.4017667,126.8985667,GGB208000058,한일아파트.삼봉마을,9030
37.4021667,126.902,GGB208000059,한라비발디아파트,9042
37.4025167,126.90535,GGB208000060,박달벽산.한양수자인에듀파크,9057
37.40265,126.9082333,GGB208000061,박달우성아파트,9074
37.4026833,126.9113833,GGB208000062,박달사거리.박달문화센터,9100
37.4027667,126.9154833,GGB208000063,안양여중고.안양성결교회,9127
37.4013833,126.9195,GGB208000064,대동문고.댕리단길,9139
