dong,category,sales_amount,sales_count
갈산동,공공/기업/단체,87942242,13047
갈산동,공연/전시,65855182,44
갈산동,미디어/통신,13778161,20
갈산동,생활서비스,516379751,10946
갈산동,소매/유통,2354660843,165158
갈산동,여가/오락,115503994,3043
갈산동,음식,1485552516,93255
갈산동,의료/건강,570322089,13688
갈산동,학문/교육,743170610,3282
관양동,공공/기업/단체,174697060,9521
관양동,공연/전시,10805615,28
관양동,미디어/통신,33862388,2714
관양동,생활서비스,4196101050,110393
관양동,소매/유통,19973765790,924759
관양동,여가/오락,1291648016,42475
관양동,음식,16237991876,794991
관양동,의료/건강,8922029067,232235
관양동,학문/교육,1862903315,6007
귀인동,공공/기업/단체,428652442,5689
귀인동,공연/전시,1946846,9
귀인동,미디어/통신,77394643,238
귀인동,생활서비스,981418096,41852
귀인동,소매/유통,17586990292,658180
귀인동,여가/오락,1458210859,69796
귀인동,음식,14204579960,594844
귀인동,의료/건강,5167047768,138918
귀인동,학문/교육,14256810266,53100
달안동,공공/기업/단체,272673100,7836
달안동,공연/전시,75362,6
달안동,미디어/통신,2983527180,118241
달안동,생활서비스,1939300079,31966
달안동,소매/유통,7960474559,307681
달안동,여가/오락,1422176491,6204
달안동,음식,3110610050,169429
달안동,의료/건강,4779205408,83164
달안동,학문/교육,516016157,1601
박달동,공공/기업/단체,38515815,767
박달동,공연/전시,8631109,422
박달동,생활서비스,652601723,14028
박달동,소매/유통,5559740709,373754
박달동,여가/오락,376108951,28667
박달동,음식,5082370453,244688
박달동,의료/건강,2394578790,84643
박달동,학문/교육,722938677,2032
범계동,공공/기업/단체,310282684,7851
범계동,공연/전시,229343532,14283
범계동,미디어/통신,770530431,36231
범계동,생활서비스,6849773064,139656
범계동,소매/유통,146258299147,2769145
범계동,여가/오락,3494212903,467923
범계동,음식,33199362769,1434723
범계동,의료/건강,41621049613,663410
범계동,학문/교육,2553734475,65758
부림동,공공/기업/단체,303626652,3829
부림동,공연/전시,254787,2
부림동,미디어/통신,79208608,2958
부림동,생활서비스,4953914993,169319
부림동,소매/유통,37754722356,1346412
부림동,여가/오락,1802794415,38411
부림동,음식,18097245442,642493
부림동,의료/건강,13591968839,269223
부림동,학문/교육,1955194206,8996
부흥동,공공/기업/단체,149315767,5692
부흥동,공연/전시,3726852,6
부흥동,생활서비스,1528087735,110790
부흥동,소매/유통,3495690133,236115
부흥동,여가/오락,573614086,3873
부흥동,음식,2820714337,233026
부흥동,의료/건강,11131078713,128888
부흥동,학문/교육,2179815667,5736
비산1동,공공/기업/단체,58515810,4864
비산1동,공연/전시,46667056,342
비산1동,미디어/통신,393805,61
비산1동,생활서비스,4443600590,96748
비산1동,소매/유통,4558453143,335445
비산1동,여가/오락,865874493,22960
비산1동,음식,3749220693,249174
비산1동,의료/건강,5557073137,151352
비산1동,학문/교육,2272659043,10010
비산2동,공공/기업/단체,10578679,444
비산2동,미디어/통신,233238,20
비산2동,생활서비스,4761885606,94063
비산2동,소매/유통,25020421987,595578
비산2동,여가/오락,248252391,5148
비산2동,음식,3150490111,150893
비산2동,의료/건강,3153800820,122673
비산2동,학문/교육,2500047885,22841
비산3동,공공/기업/단체,1291600421,48342
비산3동,미디어/통신,22788789,1769
비산3동,생활서비스,1907428585,29160
비산3동,소매/유통,6559855377,363535
비산3동,여가/오락,385217658,22104
비산3동,음식,9915408911,300042
비산3동,의료/건강,7558943112,95706
비산3동,학문/교육,1156024353,3310
석수1동,공공/기업/단체,175838839,145
석수1동,공연/전시,46907954,3405
석수1동,미디어/통신,969388,2
석수1동,생활서비스,5434876237,113371
석수1동,소매/유통,5396484517,318597
석수1동,여가/오락,591359996,22392
석수1동,음식,11304610515,432047
석수1동,의료/건강,2118717393,39264
석수1동,학문/교육,856888900,3268
석수2동,공공/기업/단체,241391172,867
석수2동,공연/전시,3885071,442
석수2동,미디어/통신,141354,5
석수2동,생활서비스,4554857572,1179043
석수2동,소매/유통,10378214892,2737523
석수2동,여가/오락,807103382,24041
석수2동,음식,5473229066,249696
석수2동,의료/건강,2147620174,90602
석수2동,학문/교육,2089516058,7801
신촌동,공공/기업/단체,183023556,836
신촌동,공연/전시,1558802,44
신촌동,미디어/통신,30921,2
신촌동,생활서비스,3293309840,81198
신촌동,소매/유통,7173739796,375543
신촌동,여가/오락,219013288,6498
신촌동,음식,6092938247,331160
신촌동,의료/건강,1594743842,32546
신촌동,학문/교육,17136017879,57821
안양1동,공공/기업/단체,901338039,46409
안양1동,공연/전시,3342360,22
안양1동,미디어/통신,33587302,1384
안양1동,생활서비스,1743008958,56866
안양1동,소매/유통,16418330650,800421
안양1동,여가/오락,1605084977,267642
안양1동,음식,18473478643,1103269
안양1동,의료/건강,11418044614,213268
안양1동,학문/교육,1187775036,26679
안양2동,공공/기업/단체,265647728,5186
안양2동,공연/전시,7384157,461
안양2동,미디어/통신,4257472,21
안양2동,생활서비스,3090242685,56761
안양2동,소매/유통,12852390156,622205
안양2동,여가/오락,742830747,21628
안양2동,음식,9268159192,371413
안양2동,의료/건강,5272571249,110559
안양2동,학문/교육,1245806155,9775
안양3동,공공/기업/단체,31048822,1100
안양3동,공연/전시,2678031,3
안양3동,미디어/통신,43400957,361
안양3동,생활서비스,7520386853,173761
