CTY_CD,CTY_NM,TIME_CD,FORN_GB,M_10_CNT,M_15_CNT,M_20_CNT,M_25_CNT,M_30_CNT,M_35_CNT,M_40_CNT,M_45_CNT,M_50_CNT,M_55_CNT,M_60_CNT,M_65_CNT,M_70_CNT,F_10_CNT,F_15_CNT,F_20_CNT,F_25_CNT,F_30_CNT,F_35_CNT,F_40_CNT,F_45_CNT,F_50_CNT,F_55_CNT,F_60_CNT,F_65_CNT,F_70_CNT,ETL_YMD
41171,안양시 만안구,9,외국인,1.71,1.68,11.81,40.57,52.63,62.62,49.44,50.71,49.3,57.61,22.07,22.02,8.49,1.68,0.0,21.98,23.78,69.52,30.44,38.91,42.29,54.19,50.7,28.72,23.66,6.76,20220112
41171,안양시 만안구,10,내국인,725.55,891.77,1577.97,1684.08,1501.45,1502.65,1629.27,1666.04,2095.04,2053.03,2422.88,1753.95,947.3,620.3,868.2,1391.62,1198.68,1195.04,1352.36,1703.84,1930.54,2373.27,2239.92,2557.49,1742.32,1013.51,20220112
41171,안양시 만안구,10,외국인,0.0,3.36,16.86,27.08,44.3,74.55,61.22,49.15,59.63,66.06,33.85,22.01,15.32,0.0,3.37,28.81,20.33,71.06,38.87,57.55,37.19,43.9,52.41,38.9,25.35,8.44,20220112
41171,안양시 만안구,11,내국인,748.78,948.4,1719.21,1909.3,1506.03,1616.32,1812.3,1863.69,2459.44,2336.56,2581.01,1856.56,931.32,728.03,897.79,1540.97,1356.37,1368.93,1527.84,1694.94,2025.45,2483.56,2512.07,2710.97,1889.69,1109.18,20220112
41171,안양시 만안구,11,외국인,0.0,3.36,13.48,30.44,45.95,81.31,49.47,59.42,52.93,79.76,28.85,27.11,11.96,0.0,3.37,22.05,25.42,60.87,28.84,57.63,42.33,49.01,64.19,40.52,33.83,10.12,20220112
41171,안양시 만안구,12,내국인,799.45,1077.18,1836.62,1953.24,1696.24,1733.0,1983.83,2080.61,2560.16,2578.44,2664.06,1823.83,947.95,836.19,1008.3,1806.54,1508.82,1443.29,1589.95,1770.98,2035.12,2771.41,2768.03,2879.49,1908.16,1036.09,20220112
41171,안양시 만안구,12,외국인,0.0,0.0,16.93,35.52,52.74,77.9,62.96,50.8,51.04,74.64,33.98,33.85,10.21,0.0,1.68,22.09,22.02,87.98,49.0,49.19,42.29,42.35,79.46,40.53,30.42,8.43,20220112
41171,안양시 만안구,13,내국인,824.7,1155.68,1839.51,1981.81,1696.7,1707.31,1905.53,1971.49,2476.97,2451.68,2699.5,1877.43,936.72,913.83,1076.43,1749.23,1492.36,1471.6,1491.66,1722.45,2012.91,2670.7,2821.77,2978.98,2029.47,1139.72,20220112
41171,안양시 만안구,13,외국인,0.0,0.0,15.16,35.59,50.78,98.13,56.28,49.08,64.48,72.9,30.6,25.38,11.9,0.0,5.06,30.38,35.61,72.75,43.88,40.85,43.99,54.15,69.32,35.41,23.64,10.11,20220112
41171,안양시 만안구,14,내국인,956.79,1322.15,1853.33,1959.55,1653.34,1705.07,1871.55,1884.81,2309.28,2342.26,2709.4,1847.21,1077.75,954.98,1113.38,1824.08,1497.09,1428.67,1455.48,1730.82,1927.36,2712.88,2713.81,2851.56,2083.61,1150.49,20220112
41171,안양시 만안구,14,외국인,1.71,0.0,13.47,40.59,39.0,84.53,59.52,43.94,54.59,66.07,30.62,20.35,10.13,0.0,6.75,27.03,40.77,65.98,50.64,50.92,59.3,48.98,62.63,35.49,28.66,5.04,20220112
41171,안양시 만안구,15,내국인,1022.77,1328.45,2051.6,1999.72,1675.36,1681.4,1832.8,1850.92,2296.36,2167.09,2637.99,1803.77,1028.7,1019.88,1240.81,1917.41,1487.15,1364.25,1392.7,1687.88,2015.1,2533.09,2651.82,2837.78,1923.36,1088.51,20220112
41171,안양시 만안구,15,외국인,1.71,0.0,15.23,32.19,45.8,89.62,49.34,50.73,61.02,59.25,33.99,25.38,8.43,0.0,5.07,25.3,42.4,66.09,55.79,52.54,55.84,49.16,69.49,45.56,21.93,8.42,20220112
41171,안양시 만안구,16,내국인,939.7,1235.04,2069.57,1951.42,1674.25,1619.67,1847.95,1850.64,2267.92,2364.11,2669.25,1744.23,921.78,1051.45,1243.78,1934.38,1498.04,1450.27,1503.83,1729.2,1954.18,2411.22,2423.91,2718.25,1812.45,957.18,20220112
41171,안양시 만안구,16,외국인,0.0,0.0,13.47,32.16,47.55,103.17,59.77,54.12,61.37,67.87,30.5,32.14,3.36,0.0,5.07,25.38,30.61,59.19,40.8,40.67,33.93,45.6,59.17,37.11,20.31,10.11,20220112
41171,안양시 만안구,17,내국인,977.46,1216.64,2092.72,2035.57,1742.86,1641.98,1939.18,1953.99,2228.38,2369.08,2496.65,1744.42,881.94,1040.8,1234.83,2016.65,1487.13,1510.42,1449.35,1634.78,1889.0,2319.11,2357.49,2404.3,1603.55,796.56,20220112
41171,안양시 만안구,17,외국인,0.0,0.0,15.15,28.87,56.04,96.37,44.14,52.47,52.79,66.14,25.43,27.02,3.36,0.0,6.75,21.9,40.93,66.06,38.9,45.77,30.51,42.17,62.49,35.46,25.34,10.12,20220112
41171,안양시 만안구,18,내국인,901.04,1328.43,2283.16,2365.63,1875.93,1709.77,1931.11,2004.06,2402.64,2434.74,2487.09,1601.63,825.68,881.92,1223.12,2112.79,1878.69,1579.28,1529.86,1622.84,1927.88,2417.02,2127.75,2153.62,1490.12,657.66,20220112
41171,안양시 만안구,18,외국인,3.36,0.0,10.1,40.6,40.72,81.07,52.34,43.94,52.69,49.09,13.57,16.92,3.38,0.0,11.79,23.61,32.13,71.11,33.79,51.1,33.94,38.84,62.48,35.49,25.33,8.44,20220112
41171,안양시 만안구,19,내국인,800.46,1302.71,2457.92,2535.14,2192.97,1856.17,1994.27,1924.54,2552.09,2330.36,2535.45,1543.13,744.97,888.67,1192.95,2177.18,2081.33,1767.7,1498.89,1630.56,1882.08,2327.76,2137.16,2088.92,1272.34,690.55,20220112
41171,안양시 만안구,19,외국인,1.68,0.0,10.1,40.62,45.85,71.0,42.34,42.2,45.92,44.01,23.76,22.0,5.06,0.0,6.74,16.94,32.25,62.74,33.84,37.37,25.44,37.17,59.0,33.79,27.01,13.49,20220112
41171,안양시 만안구,20,내국인,784.27,1208.1,2286.68,2414.91,2128.65,1849.85,1931.52,1848.95,2239.45,2242.39,2235.11,1348.54,664.54,707.4,1075.72,1995.81,1920.44,1777.53,1562.11,1580.43,1760.21,2292.28,1883.81,1889.15,1137.22,610.46,20220112
41171,안양시 만안구,20,외국인,0.0,0.0,13.47,40.63,56.07,45.65,35.48,43.94,40.69,38.97,23.72,16.85,3.37,0.0,5.05,15.19,23.73,65.98,28.82,52.66,28.83,35.44,57.34,30.48,18.59,8.44,20220112
41171,안양시 만안구,21,내국인,727.23,1147.34,1917.98,2246.58,1961.43,1746.45,1742.83,1629.77,1862.62,1947.44,1964.59,1194.32,603.55,604.74,907.3,1840.83,1737.87,1573.08,1474.11,1382.18,1536.05,2046.11,1773.68,1631.23,1059.15,622.89,20220112
41171,안양시 만안구,21,외국인,0.0,0.0,5.05,54.15,40.77,52.33,28.72,38.87,27.2,32.16,13.53,16.86,1.68,0.0,8.42,13.58,28.92,47.35,30.51,42.41,25.36,43.84,57.34,33.72,25.32,3.39,20220112
41171,안양시 만안구,22,내국인,669.9,869.41,1600.1,1911.03,1895.22,1629.69,1601.07,1488.69,1702.07,1657.66,1750.24,1087.78,519.72,580.67,842.47,1548.07,1606.07,1493.29,1302.79,1313.81,1356.16,1816.88,1544.62,1546.52,926.87,597.67,20220112
41171,안양시 만안구,22,외국인,1.71,0.0,1.68,49.07,35.71,53.96,30.42,38.86,23.66,33.89,15.23,20.27,1.68,0.0,3.45,20.21,27.11,55.8,30.36,28.9,18.61,30.37,45.52,33.75,23.64,3.39,20220112
41171,안양시 만안구,23,내국인,453.91,698.53,1304.86,1506.29,1527.72,1332.07,1323.14,1248.84,1386.0,1352.54,1435.19,910.62,470.32,451.18,618.31,1177.29,1248.53,1208.86,1011.21,1047.04,1134.14,1487.1,1276.42,1331.17,710.87,491.01,20220112
41171,안양시 만안구,23,외국인,0.0,0.0,5.05,27.12,28.84,43.86,25.38,21.97,18.62,32.21,11.85,15.28,1.68,0.0,1.69,21.94,18.67,47.37,25.32,27.2,11.87,33.77,38.78,21.91,16.92,3.39,20220112
41173,안양시 동안구,0,내국인,657.26,751.82,1158.24,1299.57,1248.57,1207.56,1286.8,1344.68,1340.11,1201.96,982.47,687.22,373.54,484.07,634.42,968.23,1080.88,1108.49,1138.09,1117.17,1204.08,1251.07,1094.67,939.35,573.09,323.15,20220112
41173,안양시 동안구,0,외국인,0.0,0.0,3.39,11.82,15.21,13.52,15.28,6.77,8.47,13.56,8.48,0.0,0.0,0.0,0.0,16.97,30.44,18.55,16.9,15.23,13.5,10.18,8.47,8.47,10.12,0.0,20220112
41173,안양시 동안구,1,내국인,827.76,785.81,1214.77,1360.37,1306.49,1327.21,1351.44,1450.01,1456.28,1249.01,1113.74,729.45,383.46,606.12,787.87,1042.25,1129.02,1176.81,1231.0,1200.83,1281.51,1361.18,1173.11,1102.32,711.32,374.9,20220112
41173,안양시 동안구,1,외국인,0.0,0.0,8.45,15.23,21.98,16.94,18.62,6.77,10.19,8.46,8.48,0.0,0.0,0.0,0.0,23.75,23.68,21.94,16.93,11.85,18.55,11.86,5.05,10.16,11.81,0.0,20220112
41173,안양시 동안구,2,내국인,795.22,764.73,1162.49,1286.71,1228.49,1253.1,1228.16,1318.61,1391.12,1165.57,1113.77,713.19,379.6,610.69,752.29,1024.7,1068.66,1141.56,1078.06,1193.87,1200.49,1321.15,1119.36,1106.2,687.06,369.65,20220112
41173,안양시 동안구,2,외국인,0.0,0.0,6.75,15.22,27.03,20.31,13.56,8.46,11.88,16.96,5.08,3.36,1.71,0.0,0.0,16.94,28.75,13.54,13.54,8.46,21.97,8.46,6.73,6.81,13.49,0.0,20220112
41173,안양시 동안구,3,내국인,793.77,730.97,1147.17,1292.09,1225.6,1267.73,1217.57,1387.89,1367.56,1222.82,1109.16,731.99,377.37,607.98,689.97,936.01,1071.92,1085.73,1063.56,1144.61,1121.03,1328.07,1077.1,1097.16,716.88,397.35,20220112
41173,안양시 동안구,3,외국인,0.0,0.0,6.74,10.14,25.39,18.66,18.61,6.77,6.81,15.28,3.39,5.04,1.71,0.0,0.0,13.57,28.76,20.25,10.17,6.75,18.58,11.84,5.05,10.17,11.81,0.0,20220112
41173,안양시 동안구,4,내국인,783.54,709.09,1089.21,1279.2,1161.43,1261.65,1206.65,1396.2,1443.49,1237.09,1132.34,756.28,434.11,581.65,645.25,875.89,1010.47,1083.11,1063.22,1202.44,1121.81,1308.38,1110.68,1097.6,718.26,394.23,20220112
41173,안양시 동안구,4,외국인,0.0,0.0,13.51,13.54,28.77,22.09,16.91,6.77,10.2,18.65,3.39,3.38,1.71,0.0,0.0,13.59,20.28,21.96,13.54,8.44,18.57,11.85,5.06,8.48,10.13,0.0,20220112
41173,안양시 동안구,5,내국인,777.81,768.29,1137.66,1324.26,1184.18,1272.3,1357.98,1491.2,1670.59,1499.81,1338.81,866.58,482.91,593.0,662.64,900.35,1036.72,1122.44,1039.23,1253.55,1294.07,1352.09,1274.33,1269.41,768.6,458.26,20220112
41173,안양시 동안구,5,외국인,0.0,0.0,11.82,21.94,32.16,20.33,27.07,21.94,23.72,23.68,10.13,3.37,1.71,0.0,0.0,10.16,15.19,16.89,15.22,11.81,18.62,10.13,10.12,6.8,11.8,0.0,20220112
41173,안양시 동안구,6,내국인,763.42,785.68,1349.89,1533.73,1496.86,1584.51,1683.91,1922.49,2044.3,1937.68,1709.77,1049.98,546.64,602.05,704.92,1072.22,1261.73,1311.98,1294.33,1411.35,1566.03,1682.29,1621.96,1567.45,954.01,550.9,20220112
41173,안양시 동안구,6,외국인,0.0,0.0,10.11,23.68,57.48,43.93,49.1,42.25,76.21,77.7,28.74,10.12,0.0,0.0,0.0,18.65,26.99,23.67,11.83,13.49,23.75,20.32,25.32,16.91,16.88,0.0,20220112
41173,안양시 동안구,7,내국인,838.49,1157.76,1638.02,1907.03,1806.95,1875.2,2005.87,2224.43,2415.62,2372.02,2064.48,1285.04,628.43,704.74,1016.82,1290.82,1534.57,1532.0,1583.16,1817.95,1960.14,2058.53,1934.66,1849.43,1151.35,687.47,20220112
41173,안양시 동안구,7,외국인,0.0,0.0,18.54,45.64,74.33,70.92,66.11,74.4,99.92,103.05,27.01,10.11,0.0,0.0,0.0,25.41,28.7,45.66,15.2,13.53,23.69,27.06,33.82,25.39,25.34,0.0,20220112
41173,안양시 동안구,8,내국인,998.05,1539.45,1952.74,2496.04,2292.28,2423.96,2603.26,2896.87,2923.99,2952.25,2403.33,1557.21,748.71,806.37,1352.23,1593.48,1765.53,1863.05,2027.9,2148.36,2352.78,2628.66,2569.54,2445.71,1565.13,851.44,20220112
41173,안양시 동안구,8,외국인,0.0,0.0,20.25,52.42,77.73,93.03,76.24,70.96,93.14,111.64,35.51,6.76,1.71,0.0,1.68,23.72,49.05,55.8,27.03,28.81,27.06,33.86,28.79,38.84,27.01,1.68,20220112
41173,안양시 동안구,9,내국인,1168.48,1943.92,2381.62,2838.12,2683.19,2763.13,3008.42,3351.93,3568.22,3462.57,2906.08,1905.87,965.97,1038.79,1673.26,1875.26,1991.94,2258.06,2567.63,2677.54,2945.46,3437.65,3201.46,3145.79,1976.19,1051.41,20220112
41173,안양시 동안구,9,외국인,0.0,0.0,25.34,45.69,89.55,96.46,79.53,96.33,108.4,99.77,43.96,13.52,1.71,0.0,3.37,28.78,77.79,54.21,40.51,40.61,33.88,42.35,50.75,55.66,27.0,3.37,20220112
41173,안양시 동안구,10,내국인,1315.08,2259.96,2804.54,3119.39,2968.74,2931.36,3348.93,3585.7,3780.17,3722.9,3383.74,2158.73,1117.41,1296.34,2099.99,2096.37,2172.83,2498.61,3009.5,3227.39,3563.21,4069.29,3710.18,3672.84,2319.68,1231.97,20220112
41173,안양시 동안구,10,외국인,0.0,0.0,27.03,55.82,106.47,128.57,88.0,74.32,115.14,99.82,43.94,10.14,5.11,0.0,1.68,40.62,82.84,60.91,54.06,45.66,43.92,49.08,64.2,52.37,38.82,5.05,20220112
41173,안양시 동안구,11,내국인,1646.24,2659.79,3182.45,3430.43,3404.36,3391.14,3825.88,4288.3,4469.77,4124.76,3701.24,2358.88,1098.73,1708.35,2382.7,2404.57,2587.15,2890.27,3335.64,3557.98,3918.28,4632.89,4019.53,4026.49,2423.65,1351.53,20220112
41173,안양시 동안구,11,외국인,0.0,0.0,28.72,50.72,119.98,109.87,89.57,91.26,147.28,113.27,59.11,20.29,6.81,0.0,1.68,45.66,91.27,76.06,69.31,54.12,55.73,64.29,81.1,42.19,47.35,3.37,20220112
