시군명,사업단계,사업유형,정비구역명,위치,위도,경도,구역면적 제곱미터,기존주택 준공년도,기존주택 동수,기존주택 세대수,사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,신축주택 분양주택수,신축주택 임대주택수,기존 용적률,신축 용적률,토지등소유자수,조합원수,사업시행자,사업예정기간 사업시작,사업예정기간 사업완료,정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자 최초지정,정비구역지정일자 변경지정,추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,담당부서,담당자전화번호
안양시,준공,재건축,석수주공3단지지구,경기도 안양시 만안구 석수3동 787,37.40796057,126.899073,28372,1985,11,425,553,440,67,46,507,46,88%,249%,446,446,조합,2005,2010,,,,2005-08-29,2010-02-04,,2001-11-29,2002-01-26,2002-06-25,2005-12-22,2006-10-27,2007-07-26,2010-02-25,2010-02-12,2010-04-30,이전고시,도시정비과,031-8045-2402
안양시,정비구역,재건축,프라자아파트,경기도 안양시 만안구 안양동 762-2,37.39363525,126.9128909,27125,1987,17,658,,,,,,,210.90%,260%/270%,,,,,,2020-03-09,2022-06-30,2025-01-24,2025-01-24,,,2020-07-22,2021-08-06,,,,,,,,정비구역지정,도시정비과,031-8045-2402
안양시,조합설립,재개발,종합운동장 동측,경기도 안양시 동안구 비산동 1047-20,37.40475525,126.9519586,91267,,315,1329,1850,1374,250,226,1624,226,130.30%,300%,1370,1374,조합,,,2020-03-09,,2022-06-30,2022-06-30,2024-09-04,2022-08-18,2022-08-18,,2023-05-08,,,,,,,사업시행계획 인가 준비,도시정비과,031-8045-2382
안양시,준공,재건축,진흥아파트,경기도 안양시 만안구 안양1동 97-3,37.39839028,126.9264318,108559,1983/1985,50,1998,2736,2027,709,,2736,,170%,270%,2059,2004,조합,2009,2023,2006-08-07,,2009-04-16,2009-08-06,2021-05-04,2007-02-28,2009-10-12,2010-02-04,2011-07-01,2016-09-08,2019-06-18,2021-11-29,2022-03-16,2024-10-18,,부분준공,도시정비과,031-8045-2399
안양시,준공,재개발,호계온천 주변,경기도 안양시 동안구 호계2동 915,37.38729566,126.949254,41856,평균 1990,92,538,1011,457,403,151,860,151,100~200%,298%,512,438,조합,2013,2025,2006-08-07,,2012-10-24,2013-02-28,2017-08-18,2006-08-16,,,2014-10-30,2019-03-25,2020-03-04,2021-09-23,2024-11-07,2025-02-25,,부분착공,도시정비과,031-8045-2374
안양시,준공,주거환경개선,냉천,경기도 안양시 만안구 안양5동 618,37.39138341,126.9228388,119122,1971~2002,440,1771,2329,1054,1087,188,2141,188,100~200%,270%,873,,경기주택도시공사,2006,2025,2006-08-07,,2009-10-09,2009-11-13,2024-10-11,,,,,2019-03-28,2020-02-28,2021-12-30,2022-01-14,2025-01-22,,준공,도시정비과,031-8045-5642
안양시,준공,재개발,비산1동주민센터 주변,경기도 안양시 동안구 비산1동 554,37.39900003,126.9340807,5135,1983/1989,19,137,230,119,111,,230,,100~200%,450%,139,133,조합,2015,2023,2014-10-21,,2015-06-05,2015-10-08,,2015-12-15,,,2016-06-21,2019-01-31,2020-05-23,2020-08-25,2020-09-11,2023-08-16,,준공,도시정비과,031-8045-2366
안양시,준공,재개발,덕현,경기도 안양시 동안구 호계1동 992,37.37213396,126.9608571,116663,1975~2007,354,2559,2886,1332,1228,326,2560,326,100~200%,283%,1499,1226,조합,2010,2023,2006-08-07,,2010-07-23,2010-07-23,2024-11-12,2007-12-10,,,2012-02-21,2015-07-23,2017-02-27,2020-10-22,2022-12-29,2023-11-24,,부분준공,도시정비과,031-8045-5642
안양시,준공,재개발,삼영아파트 주변,경기도 안양시 만안구 안양2동 34-1,37.41248835,126.9161546,25158,평균 1984,102,519,558,263,250,45,513,45,100~200%,248%,268,234,조합,2009,2022,2006-08-07,,2009-03-24,2009-12-02,2017-08-18,2006-08-18,,,2010-05-24,2016-12-07,2018-03-05,2019-10-08,2019-10-10,2022-07-05,2023-05-10,조합해산 완료,도시정비과,031-8045-2382
안양시,준공,재개발,예술공원입구 주변,경기도 안양시 만안구 안양2동 18-1,37.41544752,126.9185295,48205,평균 1986,175,405,1021,388,571,62,959,62,100~200%,251%,405,374,조합,2010,2022,2006-08-07,,,2010-01-13,2016-03-28,2006-08-16,,,2011-07-12,2015-05-27,2016-11-25,2019-11-27,2019-12-03,2022-08-30,2023-10-25,조합해산 완료,도시정비과,031-8045-2382
안양시,준공,재개발,구사거리,경기도 안양시 동안구 호계3동 661-1,37.36690064,126.9539071,41951,평균 1985,116,620,855,372,414,69,786,69,100~200%,263%,585,353,조합,2009,2021,2006-08-07,,2009-03-11,2009-08-28,2016-08-18,2006-11-08,,,2010-10-12,2016-06-21,2017-03-30,2018-11-28,2018-12-03,2022-05-13,2022-07-27,청산,도시정비과,031-8045-2382
안양시,준공,재개발,임곡3,경기도 안양시 동안구 비산1동 515-2,37.40438617,126.933835,133420,1964~2006,427,2229,2737,1336,1226,175,2562,175,100~200%,248%,1463,1251,조합,2009,2023,2006-08-07,,2009-12-30,2009-12-30,2020-06-30,2007-06-19,,,2011-07-25,2015-09-22,2016-11-24,2018-12-17,2018-12-20,2023-09-05,2024-04-02,조합해산 완료,도시정비과,031-8045-2366
안양시,준공,재개발,호원초등학교 주변,경기도 안양시 동안구 호계1동 956,37.37210725,126.9547494,184607,평균 1985,721,2585,3850,1694,1963,193,3657,193,100~200%,265%,1838,1500,조합,2010,2021,2006-08-07,,,2010-09-01,2015-11-16,2007-02-27,,,2012-05-29,2015-06-02,2016-04-22,2018-05-01,2018-05-24,2021-04-07,2024-12-05,이전고시,도시정비과,031-8045-2366
안양시,준공,재개발,소곡지구,경기도 안양시 만안구 안양6동 585-2,37.38708805,126.9231373,66682,1971~2004,215,1068,1394,488,792,114,1280,114,100~200%,240%,645,482,조합,2008,2021,2006-08-07,,2008-12-12,2008-12-12,2021-04-21,2006-08-16,,,2009-07-27,2010-12-06,2015-11-04,2018-05-29,2018-07-05,2021-10-07,2021-11-12,사업완료,도시정비과,031-8045-5642
안양시,준공,재건축,진흥로얄아파트,경기도 안양시 동안구 비산2동 577-1,37.3925113,126.9419987,10431,1986,5,239,304,236,68,,304,,150~199%,267%,239,236,코리아신탁,2015,2021,2010-05-27,2012-12-31,2015-09-11,2015-12-03,2021-12-17,,2012-06-22,2013-04-19,2016-09-13,2017-11-06,2018-07-13,2019-05-31,2019-06-25,2021-11-15,2023-10-12,이전고시,도시정비과,031-8045-2402
안양시,준공,재건축,비산2동주민자치센터주변,경기도 안양시 만안구 비산2동 419-30,37.39849001,126.9374874,52223,1980/1983,242,864,1199,535,664,,1199,,100~200%,307%,811,536,조합,2008,2021,2006-08-07,,,2008-11-21,2019-01-25,2007-02-28,,2008-12-24,2009-09-29,2014-10-31,2017-03-13,2019-01-25,2019-02-19,2022-03-02,2022-07-05,조합해산 완료,도시정비과,031-8045-2399
안양시,준공,재개발,덕천,경기도 안양시 만안구 안양7동 148-1,37.39402099,126.9335074,257590,1975~2003,870,4910,4250,3179,342,729,3521,729,100~200%,245%,3669,3179,LH,2006,2016,2006-08-07,,,2006-09-07,2016-09-13,,,,,2008-12-31,2011-11-25,2014-04-02,2015-09-21,2016-10-26,2017-07-31,조합 청산절차 진행 중,도시정비과,031-8045-5642
안양시,준공,재건축,청원아파트주변,경기도 안양시 만안구 안양2동 80-4,37.40538391,126.9206394,17749,1978,45,247,419,209,189,21,398,21,103%,296%,247,209,조합,2007,2019,2006-08-07,,,2007-09-27,2020-09-17,,,1997-11-30,1997-12-10,2009-03-31,2015-06-09,2016-08-26,2016-08-30,2019-01-25,2020-12-02,이전고시,도시정비과,031-8045-2402
안양시,준공,재건축,호계주공아파트주변,경기도 안양시 동안구 호계1동 977,37.37692721,126.9577312,53382,1984,32,900,1174,797,341,36,1138,36,92%,274%,900,789,조합,2009,2019,2006-08-07,,,2009-08-18,2019-05-22,2007-01-05,2008-04-25,2008-11-17,2010-12-13,2014-11-07,2015-10-26,2016-07-08,2016-07-13,2019-03-28,2019-09-10,이전고시,도시정비과,031-8045-5065
