상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0106202201A0153292,커피빈범계역로데오점,코리아,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110460009,1,대지,1046.0,9.0,경기도 안양시 동안구 호계동 1046-9,411734349201,경기도 안양시 동안구 평촌대로223번길,41,,4117310400110460009000001,,경기도 안양시 동안구 평촌대로223번길 41,431812.0,14072,,,,126.953508815285,37.3904894568415
MA0106202201A0635969,플레이타임그룹롯데백화점챔피언,평촌점,G2,소매,G213,오락용품 소매,G21304,운동용품 소매업,G47631,운동 및 경기용품 소매업,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110390000,1,대지,1039.0,,경기도 안양시 동안구 호계동 1039,411732182002,경기도 안양시 동안구 시민대로,180,,4117310400110390000000001,,경기도 안양시 동안구 시민대로 180,431812.0,14073,,,,126.950426298565,37.389983632002
MA0106202201A0563275,애니벅스,,P1,교육,P105,일반 교육,P10501,입시·교과학원,P85501,일반 교과학원,41,경기도,41171,안양시 만안구,41171510,안양1동,4117110100,안양동,4117110100106680039,1,대지,668.0,39.0,경기도 안양시 만안구 안양동 668-39,411713182016,경기도 안양시 만안구 안양로,318,,4117110100106680039007981,,경기도 안양시 만안구 안양로 318,430831.0,13992,,,,126.92036598514,37.4005722373796
MA0106202201A0285077,에스피씨지에프에스델리가든오비즈,타워점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200118020000,1,대지,1802.0,,경기도 안양시 동안구 관양동 1802,411733196015,경기도 안양시 동안구 벌말로,126,,4117310200108130000014292,,경기도 안양시 동안구 벌말로 126,431062.0,14057,,,,126.970274550156,37.3996402343961
MA0106202201A0521570,KFC관양1점,,I2,음식,I210,기타 간이,I21003,피자,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,41,경기도,41173,안양시 동안구,41173552,관양동,4117310200,관양동,4117310200114420009,1,대지,1442.0,9.0,경기도 안양시 동안구 관양동 1442-9,411732182001,경기도 안양시 동안구 관악대로,302,,4117310200114420009006892,,경기도 안양시 동안구 관악대로 302,431807.0,13944,,,,126.956539513173,37.402582323015
MA0106202201A0153628,커피빈안양1번가점,코리아,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,41,경기도,41171,안양시 만안구,41171510,안양1동,4117110100,안양동,4117110100106740250,1,대지,674.0,250.0,경기도 안양시 만안구 안양동 674-250,411714346195,경기도 안양시 만안구 안양로304번길,12,,4117110100106740250008380,,경기도 안양시 만안구 안양로304번길 12,430831.0,13992,,,,126.921903034139,37.399546098422
MA0106202201A2215270,씨제이올리브영안양,비산점,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41173,안양시 동안구,41173510,비산1동,4117310100,비산동,4117310100105500001,1,대지,550.0,1.0,경기도 안양시 동안구 비산동 550-1,411732182001,경기도 안양시 동안구 관악대로,103,,4117310100105500001009779,,경기도 안양시 동안구 관악대로 103,431822.0,13924,,,,126.935444698199,37.3991488073519
MA0106202201A0521666,KFC안양호계,,I2,음식,I210,기타 간이,I21003,피자,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,41,경기도,41173,안양시 동안구,41173620,신촌동,4117310400,호계동,4117310400110580004,1,대지,1058.0,4.0,경기도 안양시 동안구 호계동 1058-4,411732183002,경기도 안양시 동안구 평촌대로,135,,4117310400110580004005004,,경기도 안양시 동안구 평촌대로 135,431827.0,14099,,,,126.959090785245,37.3840852440497
MA0106202201A0388162,일송학원한림대성심병원,,Q1,보건의료,Q101,병원,Q10101,종합병원,Q86101,종합병원,41,경기도,41173,안양시 동안구,41173576,평안동,4117310300,평촌동,4117310300108960000,1,대지,896.0,,경기도 안양시 동안구 평촌동 896,411734349078,경기도 안양시 동안구 관평로170번길,22,,4117310300108960000004564,,경기도 안양시 동안구 관평로170번길 22,431796.0,14068,,,,126.96197759447,37.3916548023958
MA0106202201A0188578,슬레이트커피로스터스,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47859,그 외 기타 분류 안된 상품 전문 소매업,41,경기도,41171,안양시 만안구,41171650,호현동,4117110300,박달동,4117110300101370007,1,대지,137.0,7.0,경기도 안양시 만안구 박달동 137-7,411713012043,경기도 안양시 만안구 박달로,475,,4117110300101370007007389,,경기도 안양시 만안구 박달로 475,430802.0,13982,,,,126.905342462487,37.4025614311452
