지역,센터명,주관기관명,주소
대전(3),대전 정동 인쇄 소공인특화지원센터,(재)대전일자리경제진흥원,대전광역시 동구 선화로 214번길 46(정동 31-63) 정동인쇄센터 2층
대전(3),대전 오정 기타기계장비제조 소공인특화지원센터,한남대학교 산학협력단,대전광역시 대덕구 한남로 70 행정관 2층 207호
대전(3),대전 덕암 금속가공 소공인특화지원센터,(재)대덕경제재단,대전광역시 대덕구 무지니1길 6(평촌동)
서울(5),서울 장위 의류봉제 소공인특화지원센터,서울패션섬유봉제협회,서울특별시 성북구 돌곶이로25길 73 1층
서울(5),서울 봉익 주얼리 소공인특화지원센터,서울주얼리산업협동조합,"서울특별시 종로구 돈화문로 72, 중앙빌딩 4층 503호"
서울(5),서울 광진 의류제조 소공인특화지원센터,서울광진의류협회,"서울특별시 광진구 면목로 174, 3층"
서울(5),서울 문래 기계금속 소공인특화지원센터,(사)서울소공인협회,"서울특별시 영등포구 도림로 141길 22, 2층 208호"
서울(5),서울 상생 소공인특화지원센터,(사)국제경영원,서울특별시 종로구 지봉로 29 금호팔레스빌딩 12층
경기(12),용인 영덕 전자부품 소공인특화지원센터,용인시산업진흥원,경기도 용인시 기흥구 흥덕2로 15
경기(12),화성 향남 기타기계장비 소공인특화지원센터,화성상공회의소,경기도 화성시 향남읍 토성로 14 화성상공회의소 2층
경기(12),부천 신흥 전기장비 소공인특화지원센터,부천대학교 산학협력단,경기도 부천시 원미구 신흥로 56번길 25 부천대학교 몽당기념관 501호
경기(12),시흥 대야 기타기계장비 소공인특화지원센터,(재)시흥산업진흥원,경기도 시흥시 호현로 27번길 25-1
경기(12),성남 상대원 식품제조 소공인특화지원센터,성남산업진흥원,"경기도 성남시 중원구 둔촌대로 457번길 8, 301호"
경기(12),군포 당정 금속가공 소공인특화지원센터,(재)군포산업진흥원,경기도 군포시 당정로 28번길 23
경기(12),안양 전자부품 소공인특화지원센터,안양산업진흥원,"경기도 안양시 동안구 시민대로248번길 25, 2층"
경기(12),포천 가산 가구 소공인특화지원센터,경기대진테크노파크,경기도 포천시 포천로912번길 147-2
경기(12),동탄 전자부품 소공인특화지원센터,화성시도시형소공인협의회,"경기도 화성시 동탄첨단산업1로 57, LH인큐베이팅센터 301호~304호"
경기(12),시흥 정왕 전기장비 소공인특화지원센터,(재)시흥산업진흥원,경기도 시흥시 산기대학로 237 시흥비즈니스센터 3층 301호
경기(12),파주 출판인쇄 소공인특화지원센터,(사)한국소공인협회 경기북부지부,"경기도 파주시 서패동 470-1, 첨단 302호"
경기(12),성남 상대원 섬유제조 소공인특화지원센터,성남산업진흥원,"경기도 성남시 중원구 둔촌대로 457번길 8, 301호"
인천(1),인천 송림 기타기계장비 소공인특화지원센터,인천신용보증재단,"인천광역시 동구 방축로37번길 61-3, 1층 "
대구(3),대구 성내 주얼리 소공인특화지원센터,(재)대구광역시중구도심재생문화재단,대구광역시 중구 경상감영길 176 패션주얼리 전문타운 4층
대구(3),대구 대봉 의류봉제 소공인특화지원센터,(사)디자인정책연구원,대구광역시 중구 동덕로8길 20-9
대구(3),대구 노원 안경제조 소공인특화지원센터,(재)한국안광학산업진흥원,대구광역시 북구 노원로 169 3층 307호
부산(4),부산 범천 귀금속 소공인특화지원센터,부산경제진흥원,"부산광역시 동구 진성공원로 23, KT남부산지사 18층"
부산(4),부산 범일 의류제조 소공인특화지원센터,(재)부산테크노파크,부산광역시 동구 조방로 38번길 3-1
부산(4),부산 범천 가죽가방신발 소공인특화지원센터,동의대학교산학협력단,"부산광역시 부산진구 엄광로 176, 동의대학교 창의관 209호"
부산(4),부산 서동 의류제조 소공인특화지원센터,부산경남봉제산업협동조합,부산광역시 금정구 옥봉로8번길 16
광주(2),광주 서남 인쇄 소공인특화지원센터,(재)광주디자인진흥원,"광주광역시 동구 문화전당로35번길 22, 2층(광주인쇄비즈니스센터)"
광주(2),광주 충장 귀금속 소공인특화지원센터,조선대학교 산학협력단,"광주광역시 동구 구성로 162-1, 3층(광주주얼리지원센터)"
전남(1),무안 도자 소공인특화지원센터,목포대학교 산학협력단,전남 무안군 청계면 영산로1666 대외협력관(B24-2)  3층 310호
충북(2),청주 중앙 인쇄 소공인특화지원센터,서원대학교산학협력단,"충북 청주시 상당구 상당로190번길 19, 인쇄출판산업지원센터 2층"
충북(2),보은 식품 제조 소공인특화지원센터,(재)충북과학기술혁신원,충청북도 보은군 마루들길 29 2층
전북(3),순창 장류 소공인특화지원센터,(재)전라북도경제통상진흥원,"전북 순창군 순창읍 장류로 20-40, 2층"
전북(3),전주 팔복 금속가공 소공인특화지원센터,(사)전주벤처기업육성촉진지구발전협의회,전북 전주시 덕진구 유상로 67
전북(3),전북 상생소공인특화지원센터,(사)전주벤처기업육성촉진지구발전협의회,"전북 전주시 덕진구 유상로 67, 전주첨단벤처단지 5동 2층"
경남(2),김해 도자 소공인특화지원센터,(사)김해도예협회,경남 김해시 분청로 21 김해분청도자전시판매관 2층
경남(2),경남 상생 소공인특화지원센터,한국생산성본부,"경남 창원시 의창구 창원대로 18번길 46, 창원 지역사무소"
충남(2),공주 섬유제조 소공인특화지원센터,(재)한국섬유스마트공정연구원,충남 공주시 유구읍 유구외곽로 248-26
강원(1),강원 원주 기타기계장비 소공인특화지원센터,(사)강원도시형소공인연합회,"강원도 원주시 우산로 278, 가동 203호"
